index,from,to,estimate,std error,t,p>|t|
BO_X2 -> SP_Y1,BO_X2,SP_Y1,0.5841961535477926,0.08930114947752844,6.5418660002220745,1.3225328040928457e-09
NK_X1 -> SP_Y1,NK_X1,SP_Y1,0.2738330394287141,0.08930114947752842,3.0663999403235116,0.0026437923182980904
BO_X2 -> KP_Y2,BO_X2,KP_Y2,0.1475004732889606,0.08551385410140809,1.7248722425028884,0.08698321607867769
NK_X1 -> KP_Y2,NK_X1,KP_Y2,0.6711368857068076,0.0767000106272989,8.75015375119046,1.1090837905921227e-14
SP_Y1 -> KP_Y2,SP_Y1,KP_Y2,0.10736946638839752,0.07327242583106765,1.46534614038768,0.14529786605899858
